Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
P49321-3	Nuclear autoantigenic sperm protein	NASP	P49321-3	Nuclear autoantigenic sperm protein	NASP
P49326	Dimethylaniline monooxygenase [N-oxide-forming] 5	FMO5	P49326;P49326-3;E9PJF3;P49326-2;E9PP51;E9PQ84	Dimethylaniline monooxygenase [N-oxide-forming] 5	FMO5
P49327	Fatty acid synthase	FASN	P49327;A0A0U1RQF0;A0A0U1RRG3;A0A1B0GTR5;J3KTF0	Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	FASN
P49354	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	FNTA	P49354;E9PQP6;B3KVN2;P49354-2;H0YCW1;E9PPM9	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	FNTA
P49356	Protein farnesyltransferase subunit beta	FNTB	P49356	Protein farnesyltransferase subunit beta	FNTB
P49366	Deoxyhypusine synthase	DHPS	P49366;A0A087WZK0;P49366-2;P49366-3;M0QXT2;M0R1T4	Deoxyhypusine synthase	DHPS
P49368	T-complex protein 1 subunit gamma	CCT3	P49368;P49368-2;B4DUR8;Q5SZX6;E9PRC8;Q5SZW8;E9PQ35;E9PM09;Q5SZX9	T-complex protein 1 subunit gamma	CCT3
P49406	39S ribosomal protein L19, mitochondrial	MRPL19	P49406;S4R3W9;A0A0A0MRF4;H7C2J0;S4R455	39S ribosomal protein L19, mitochondrial	MRPL19
P49407-2	Beta-arrestin-1	ARRB1	P49407-2;P49407;E9PM35;H0YET9;E7ESX4;P10523	Beta-arrestin-1	ARRB1
P49411	Elongation factor Tu, mitochondrial	TUFM	P49411;H3BNU3	Elongation factor Tu, mitochondrial	TUFM
P49419-2	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1	P49419-2;A0A1B0GW77;P49419;A0A1B0GTG2;A0A1B0GUA1;A0A1B0GW82;A0A1B0GTJ4;P49419-4;A0A1B0GV49;A0A1B0GUY0	Alpha-aminoadipic semialdehyde dehydrogenase	ALDH7A1
P49427	Ubiquitin-conjugating enzyme E2 R1	CDC34	P49427;U3KQP9;U3KQ77;U3KPV8	Ubiquitin-conjugating enzyme E2 R1	CDC34
P49441	Inositol polyphosphate 1-phosphatase	INPP1	P49441;C9J173;B8ZZF6;E7ET59;E7EUX4;E7ENF2;C9J128;C9J2Z6	Inositol polyphosphate 1-phosphatase	INPP1
P49448	Glutamate dehydrogenase 2, mitochondrial	GLUD2	P49448	Glutamate dehydrogenase 2, mitochondrial	GLUD2
P49458	Signal recognition particle 9 kDa protein	SRP9	P49458;Q6P2S0;Q659G3;E9PE20;P49458-2	Signal recognition particle 9 kDa protein	SRP9;DKFZp564M2223
P49588	Alanine--tRNA ligase, cytoplasmic	AARS	P49588;P49588-2;H3BPK7	Alanine--tRNA ligase, cytoplasmic	AARS
P49589-3	Cysteine--tRNA ligase, cytoplasmic	CARS	P49589-3;P49589;B4DKY1;P49589-2;E9PRS8;E9PLP0;C9JLN0	Cysteine--tRNA ligase, cytoplasmic	CARS
Q5T5C7	Serine--tRNA ligase, cytoplasmic	SARS	Q5T5C7;P49591	Serine--tRNA ligase, cytoplasmic	SARS
P49593	Protein phosphatase 1F	PPM1F	P49593;P49593-2;A8MX49;B5MCT7;C9J2F3;C9JL74	Protein phosphatase 1F	PPM1F
P49638	Alpha-tocopherol transfer protein	TTPA	P49638	Alpha-tocopherol transfer protein	TTPA
P49642	DNA primase small subunit	PRIM1	P49642;F8VNY2;F8VSB2;A0A3B3ITS8	DNA primase small subunit;DNA primase	PRIM1
P49662-2	Caspase-4	CASP4	P49662-2;P49662;P49662-4;E9PMT1;H0YD34;H7C0P5;P49662-5	Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2	CASP4
P49720	Proteasome subunit beta type-3	PSMB3	P49720;A0A087WXQ8;A0A087WY10	Proteasome subunit beta type-3	PSMB3
P49721	Proteasome subunit beta type-2	PSMB2	P49721;A0A087WVV1	Proteasome subunit beta type-2	PSMB2
P49736	DNA replication licensing factor MCM2	MCM2	P49736;H0Y8E6	DNA replication licensing factor MCM2	MCM2
P49748	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADVL	P49748;P49748-3;P49748-2;G3V1M7;K7EQP4;J3QRJ8;J3KSR4;J3QKU9;K7EJW8;J3KS89	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADVL
P49750	YLP motif-containing protein 1	YLPM1	P49750;F8VU51;P49750-1;P49750-3;H0YIQ2;H0YI23	YLP motif-containing protein 1	YLPM1
P49753	Acyl-coenzyme A thioesterase 2, mitochondrial	ACOT2	P49753;A0A087WT95;P49753-2;F6VI00	Acyl-coenzyme A thioesterase 2, mitochondrial	ACOT2
P49754-3	Vacuolar protein sorting-associated protein 41 homolog	VPS41	P49754-3;P49754;P49754-2;H7BXH3;C9J3F8;C9JZ11;H7BZX6;C9J2U9;C9JU58;H7C0K2	Vacuolar protein sorting-associated protein 41 homolog	VPS41
P49755	Transmembrane emp24 domain-containing protein 10	TMED10	P49755;G3V2K7	Transmembrane emp24 domain-containing protein 10	TMED10
P49756	RNA-binding protein 25	RBM25	P49756;P49756-2;P49756-3;E9PQU5;E9PSE8;H0YE46;P49756-4	RNA-binding protein 25	RBM25
P49757-4	Protein numb homolog	NUMB	P49757-4;P49757-2;P49757-3;P49757;P49757-8;P49757-7;P49757-6;P49757-5;G3V3R1;G3V3M5;G3V3Z8;P49757-9;G3V4S6;G3V433	Protein numb homolog	NUMB
P49761-1	Dual specificity protein kinase CLK3	CLK3	P49761-1;P49761;H3BRE4;H3BQG1;P49761-3;H3BNC8;H3BRW2;H3BNQ5;H3BUL5;H3BVF8	Dual specificity protein kinase CLK3	CLK3
P49770	Translation initiation factor eIF-2B subunit beta	EIF2B2	P49770;H0YK01	Translation initiation factor eIF-2B subunit beta	EIF2B2
P49773	Histidine triad nucleotide-binding protein 1	HINT1	P49773;D6REP8;D6RE99;D6RD60;D6RC06	Histidine triad nucleotide-binding protein 1	HINT1
P49788-2	Retinoic acid receptor responder protein 1	RARRES1	P49788-2;P49788	Retinoic acid receptor responder protein 1	RARRES1
P49789	Bis(5-adenosyl)-triphosphatase	FHIT	P49789;E9PBZ0;A0A0A0MRB0	Bis(5-adenosyl)-triphosphatase	FHIT
P49790-3	Nuclear pore complex protein Nup153	NUP153	P49790-3;P49790;P49790-2	Nuclear pore complex protein Nup153	NUP153
P49792	E3 SUMO-protein ligase RanBP2	RANBP2	P49792;F8VYC4;A0A286YES2;A0A1W2PNU4;P0DJD0;P0DJD1;F8WBP7	E3 SUMO-protein ligase RanBP2	RANBP2
P49795	Regulator of G-protein signaling 19	RGS19	P49795	Regulator of G-protein signaling 19	RGS19
P49841-2	Glycogen synthase kinase-3 beta	GSK3B	P49841-2;P49841;A0A3B3ITW1	Glycogen synthase kinase-3 beta	GSK3B
P49862	Kallikrein-7	KLK7	P49862;P49862-2;M0QYU8	Kallikrein-7	KLK7
P49863	Granzyme K	GZMK	P49863	Granzyme K	GZMK
P49888	Estrogen sulfotransferase	SULT1E1	P49888;H0Y8G0	Estrogen sulfotransferase	SULT1E1
P49902	Cytosolic purine 5-nucleotidase	NT5C2	P49902;P49902-2;Q5JUV4;Q5JUV3;Q5JUV6;REV__M0QX83;S4R3E7;S4R3A6;REV__H0YES7;H0YHR8;REV__A0A1B0GW38	Cytosolic purine 5-nucleotidase	NT5C2
P49903	Selenide, water dikinase 1	SEPHS1	P49903;P49903-2;P49903-4;P49903-3;Q5T5U6;Q5T5U7	Selenide, water dikinase 1	SEPHS1
P49914	5-formyltetrahydrofolate cyclo-ligase	MTHFS	P49914;A0A0A6YYL1;A0A0U1RQM3;P49914-2;H3BMB9;A0A0U1RR23;H3BN04	5-formyltetrahydrofolate cyclo-ligase	MTHFS;ST20-MTHFS
P49915	GMP synthase [glutamine-hydrolyzing]	GMPS	P49915;P49915-2	GMP synthase [glutamine-hydrolyzing]	GMPS
P49916-3	DNA ligase 3	LIG3	P49916-3;P49916;P49916-4;P49916-2;K7ERZ5;K7ENR9;K7EJR4;K7ELY6	DNA ligase 3	LIG3
P49961	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1	P49961;P49961-2;P49961-6;P49961-5;P49961-4;P49961-3;R4GMQ9;A0A0U1RR44;A0A1W2PQK8	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1
P50053	Ketohexokinase	KHK	P50053	Ketohexokinase	KHK
P50053-2	Ketohexokinase	KHK	P50053-2	Ketohexokinase	KHK
P50135	Histamine N-methyltransferase	HNMT	P50135;P50135-3;P50135-2	Histamine N-methyltransferase	HNMT
P50148	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ	P50148;B1AM21	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ
P50213	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	IDH3A	P50213;H0YL72;P50213-2;H0YMU3;H0YLI6;H0YKD0;H0YNF5;H0YM64;H0YM46	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	IDH3A
P50225	Sulfotransferase 1A1	SULT1A1	P50225;H3BRY5;H3BQX5;E9PM76	Sulfotransferase 1A1;Sulfotransferase	SULT1A1
P50225-2	Sulfotransferase 1A1	SULT1A1	P50225-2;H3BMH9;H3BT96	Sulfotransferase 1A1	SULT1A1
P50226	Sulfotransferase 1A2	SULT1A2	P50226;E9PKW4;E9PKR8	Sulfotransferase 1A2;Sulfotransferase	SULT1A2
P50238	Cysteine-rich protein 1	CRIP1	P50238;K4DIB9;H3BRQ4	Cysteine-rich protein 1	CRIP1
P50281	Matrix metalloproteinase-14	MMP14	P50281;F8W1B7	Matrix metalloproteinase-14	MMP14
P50336	Protoporphyrinogen oxidase	PPOX	P50336;A0A494C146;A0A494C0D4;H0YFP3;A0A1W2PRF9;F5GZT7;D3DVG2;A0A494C0M9;A0A1W2PQM0;A0A1W2PPA5;A0A494C134;A0A1W2PNH4;F5H1I5;A0A494C0L4;F5H825;H0YFE1;A0A494C1M8	Protoporphyrinogen oxidase	PPOX
P50395	Rab GDP dissociation inhibitor beta	GDI2	P50395;P50395-2;Q5SX87;Q5SX91;Q5SX86;V9GYF8;Q5SX90;V9GYJ7	Rab GDP dissociation inhibitor beta	GDI2
P50402	Emerin	EMD	P50402;Q5HY57;F8WEQ1	Emerin	EMD
P50416	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	P50416;P50416-2;H3BP22;H3BUV7;H3BMD2;H3BUJ0;H7C0S1	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A
P50440	Glycine amidinotransferase, mitochondrial	GATM	P50440;P50440-3;H0YMX4;H0YKW9;H0YN43;H0YLC6;H0YL75	Glycine amidinotransferase, mitochondrial	GATM
P50440-2	Glycine amidinotransferase, mitochondrial	GATM	P50440-2	Glycine amidinotransferase, mitochondrial	GATM
P50452	Serpin B8	SERPINB8	P50452;A0A1B0GU38;P50452-2;C9JVA8;H7BXK7;P50452-3;C9JTJ8	Serpin B8	SERPINB8
P50453	Serpin B9	SERPINB9	P50453	Serpin B9	SERPINB9
P50454	Serpin H1	SERPINH1	P50454;E9PPV6;E9PR70;E9PK86;E9PMI5;E9PNX1;E9PKH2;E9PJH8;E9PIG2;E9PRS3;E9PQ34;E9PLA6;H0YEP8	Serpin H1	SERPINH1
P50479	PDZ and LIM domain protein 4	PDLIM4	P50479;P50479-2;C9J542	PDZ and LIM domain protein 4	PDLIM4
P50502	Hsc70-interacting protein	ST13	P50502;Q3KNR6;H7C3I1;Q8IZP2;Q8NFI4;F6VDH7;F8WAQ7	Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5	ST13;ST13P4;ST13P5
P50552	Vasodilator-stimulated phosphoprotein	VASP	P50552;K7ENL7;K7ENR7;K7EM16;K7EIG8;K7EQD0	Vasodilator-stimulated phosphoprotein	VASP
P50570	Dynamin-2	DNM2	P50570;P50570-5;P50570-4;K7EPK9;H7C5U0	Dynamin-2	DNM2
P50570-2	Dynamin-2	DNM2	P50570-2;P50570-3;K7EMQ3	Dynamin-2	DNM2
P50579	Methionine aminopeptidase 2	METAP2	P50579;P50579-3;F8VQZ7;P50579-2;F8VRR3;G3V1U3;F8VY03;F8VSC4	Methionine aminopeptidase 2	METAP2
P50583	Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	NUDT2	P50583	Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	NUDT2
P50591	Tumor necrosis factor ligand superfamily member 10	TNFSF10	P50591	Tumor necrosis factor ligand superfamily member 10	TNFSF10
P50747	Biotin--protein ligase	HLCS	P50747	Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase	HLCS
P50749	Ras association domain-containing protein 2	RASSF2	P50749	Ras association domain-containing protein 2	RASSF2
P50750-2	Cyclin-dependent kinase 9	CDK9	P50750-2;P50750;X6RE90	Cyclin-dependent kinase 9	CDK9
P50914	60S ribosomal protein L14	RPL14	P50914;E7EPB3	60S ribosomal protein L14	RPL14
P50990	T-complex protein 1 subunit theta	CCT8	P50990;P50990-2;P50990-3;H7C4C8;H7C2U0	T-complex protein 1 subunit theta	CCT8
P50991	T-complex protein 1 subunit delta	CCT4	P50991;P50991-2	T-complex protein 1 subunit delta	CCT4
P50995	Annexin A11	ANXA11	P50995;P50995-2;H0Y6E1	Annexin A11	ANXA11
P51116	Fragile X mental retardation syndrome-related protein 2	FXR2	P51116;I3L1Z2	Fragile X mental retardation syndrome-related protein 2	FXR2
U3KQV5	Granzyme M	GZMM	U3KQV5;P51124	Granzyme M	GZMM
P51148	Ras-related protein Rab-5C	RAB5C	P51148;P51148-2;K7ENY4;K7EIP6	Ras-related protein Rab-5C	RAB5C
P51149	Ras-related protein Rab-7a	RAB7A	P51149;C9J592;C9J8S3;C9IZZ0;C9J4V0;C9J4S4;C9J7D1	Ras-related protein Rab-7a	RAB7A
P51151	Ras-related protein Rab-9A	RAB9A	P51151;A0A1B0GUI0;Q9NP90	Ras-related protein Rab-9A	RAB9A
P51153	Ras-related protein Rab-13	RAB13	P51153;A0A087WWB9	Ras-related protein Rab-13	RAB13
P51159	Ras-related protein Rab-27A	RAB27A	P51159;H3BN55;P51159-2;H3BS49;H3BVH7;H3BUD9;H3BU81	Ras-related protein Rab-27A	RAB27A
P51178-2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	PLCD1	P51178-2;P51178	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	PLCD1
P51397	Death-associated protein 1	DAP	P51397;B4DQ75	Death-associated protein 1	DAP
P51398-2	28S ribosomal protein S29, mitochondrial	DAP3	P51398-2;P51398;P51398-3;V9GZ03;V9GYL9;V9GYJ9;V9GYA7;V9GZ61;V9GYC9;V9GYW1;V9GY11;V9GYJ3;V9GYF7;V9GYR8;V9GYL4	28S ribosomal protein S29, mitochondrial	DAP3
P51452	Dual specificity protein phosphatase 3	DUSP3	P51452;P51452-2;K7ES89;K7ELG5	Dual specificity protein phosphatase 3	DUSP3
P51531	Probable global transcription activator SNF2L2	SMARCA2	P51531;P51531-2;F6VDE0;A0A0U1RQZ9;A0A0U1RQE1;A0A0U1RRG6;A0A0U1RRD6;B1ALF6;B4DNT1;A0A1W2PS06;A0A0U1RR26;B1ALG2;F6T8Q0;A0A0U1RQX3;A0A0U1RR83;B1ALG1;A0A0U1RRN2;A0A0U1RQW7;F6XE55;A0A0U1RR09;A0A0U1RQU0;F6UH26;A0A0A0MSS5;A0A0U1RRF8;A0A0A0MT03;A0A1B0GWA8;A0A1B0GU54;F6RS74;A0A0U1RRJ8	Probable global transcription activator SNF2L2	SMARCA2
P51553	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	IDH3G	P51553;P51553-2;G5E9Q7;E7EQB8;E9PF84;H7C1W2;H0Y5Q7	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial;Isocitrate dehydrogenase [NAD] subunit, mitochondrial	IDH3G
P51570	Galactokinase	GALK1	P51570;P51570-2;K7EII7;K7ERJ9;K7ERN9	Galactokinase	GALK1
P51571	Translocon-associated protein subunit delta	SSR4	P51571;A6NLM8	Translocon-associated protein subunit delta	SSR4
P51572	B-cell receptor-associated protein 31	BCAP31	P51572;P51572-2;A0A2R8Y5M6;C9JSP1;C9JQ75;C9J0M4;C9JMD7;C9JM14	B-cell receptor-associated protein 31	BCAP31
P51580	Thiopurine S-methyltransferase	TPMT	P51580	Thiopurine S-methyltransferase	TPMT
P51589	Cytochrome P450 2J2	CYP2J2	P51589;A0A3B3IT99;A0A3B3IU95;A0A3B3ITF2	Cytochrome P450 2J2	CYP2J2
P51606	N-acylglucosamine 2-epimerase	RENBP	P51606;A6NKZ2;H7C2G7;H7C317	N-acylglucosamine 2-epimerase	RENBP
P51608-2	Methyl-CpG-binding protein 2	MECP2	P51608-2;P51608;A0A087X1U4;I6LM39;A0A087WVW7;B5MCB4;A0A0D9SFX7;A0A1B0GTV0;A0A0D9SEX1;C9JH89	Methyl-CpG-binding protein 2	MECP2
P51636-2	Caveolin-2	CAV2	P51636-2;P51636;E9PCT3;P51636-3	Caveolin-2;Caveolin	CAV2
P51648-2	Fatty aldehyde dehydrogenase	ALDH3A2	P51648-2;P51648;J3QRD1;J3KTG1;I3L1M4;C9JGJ2;I3L0X1;J3QKK9;J3QS00;K7EN73;J3KTD9;I3L2W1;J3QQV9;I3L4G6	Fatty aldehyde dehydrogenase	ALDH3A2
P51649	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1	P51649;P51649-2;C9J8Q5	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1
P51654	Glypican-3	GPC3	P51654;P51654-3;P51654-2;H0Y3U6	Glypican-3;Secreted glypican-3	GPC3
P51659	Peroxisomal multifunctional enzyme type 2	HSD17B4	P51659;A0A2R8YD50;E7EWE5;P51659-3;P51659-2;G5E9S2;E7ET17;E7ER27;A0A2R8YDT8;A0A2R8YF45;A0A2R8Y7W2;A0A2R8YEG2	Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2	HSD17B4
P51665	26S proteasome non-ATPase regulatory subunit 7	PSMD7	P51665;H3BNT7;H3BTM8;H3BQV2	26S proteasome non-ATPase regulatory subunit 7	PSMD7
P51674-3	Neuronal membrane glycoprotein M6-a	GPM6A	P51674-3;P51674-2;P51674;D6R9D2	Neuronal membrane glycoprotein M6-a	GPM6A
P51684	C-C chemokine receptor type 6	CCR6	P51684	C-C chemokine receptor type 6	CCR6
P51687	Sulfite oxidase, mitochondrial	SUOX	P51687;F8VVW9	Sulfite oxidase, mitochondrial	SUOX
P51688	N-sulphoglucosamine sulphohydrolase	SGSH	P51688;I3NI22;I3L4B7;I3L2L4;I3L3T3;I3L2I6	N-sulphoglucosamine sulphohydrolase	SGSH
P51689	Arylsulfatase D	ARSD	P51689;P51689-3;P51689-2;H7C327;P54793	Arylsulfatase D	ARSD
P51692	Signal transducer and activator of transcription 5B	STAT5B	P51692;C9J4I3	Signal transducer and activator of transcription 5B	STAT5B
P51798-2	H(+)/Cl(-) exchange transporter 7	CLCN7	P51798-2;P51798;H0Y2M6;I3L470;H3BNG8	H(+)/Cl(-) exchange transporter 7	CLCN7
P51809	Vesicle-associated membrane protein 7	VAMP7	P51809;P51809-3;P51809-2;E5RH06	Vesicle-associated membrane protein 7	VAMP7
P51812	Ribosomal protein S6 kinase alpha-3	RPS6KA3	P51812;B7ZB17;B1AXG1;B4DG22;A0A2R8Y603;Q15349-2;Q15349-3;Q15349;F2Z2J1;B7Z3B5;A0A2R8Y7S9;D6R910;D6RHW7;D6RA62;B1AXG2;A0A2R8YGB7;D6RE03	Ribosomal protein S6 kinase alpha-3	RPS6KA3
P51828	Adenylate cyclase type 7	ADCY7	P51828	Adenylate cyclase type 7	ADCY7
P51857	3-oxo-5-beta-steroid 4-dehydrogenase	AKR1D1	P51857;P51857-2;P51857-3;C9J3U1	3-oxo-5-beta-steroid 4-dehydrogenase	AKR1D1
P51858	Hepatoma-derived growth factor	HDGF	P51858;P51858-2;P51858-3	Hepatoma-derived growth factor	HDGF
P51884	Lumican	LUM	P51884	Lumican	LUM
P51888	Prolargin	PRELP	P51888	Prolargin	PRELP
P51911	Calponin-1	CNN1	P51911;P51911-2;B7Z7E1;K7ER02;K7EQ72;K7ENC5;K7ERK4;K7ESJ2;K7ERM8	Calponin-1;Calponin	CNN1
P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUFA8	P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUFA8
P51991	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	P51991;H7C1J8	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3
P51991-2	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	P51991-2	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3
P52209	6-phosphogluconate dehydrogenase, decarboxylating	PGD	P52209;P52209-2;K7EM49;K7EPF6;K7EMN2;K7ELN9	6-phosphogluconate dehydrogenase, decarboxylating	PGD
P52272-2	Heterogeneous nuclear ribonucleoprotein M	HNRNPM	P52272-2;P52272;A0A087X0X3;M0R019;M0R2T0;M0R0N3;M0R2I7;M0QYQ7;M0R0Y6;M0QY96;M0QYL3	Heterogeneous nuclear ribonucleoprotein M	HNRNPM
P52292	Importin subunit alpha-1	KPNA2	P52292;J3QLL0;J3KS65	Importin subunit alpha-1	KPNA2
P52294	Importin subunit alpha-5	KPNA1	P52294;C9JYI4;C9J4U1;C9J352;C9JWD9;F2Z3G4	Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed	KPNA1
P52298	Nuclear cap-binding protein subunit 2	NCBP2	P52298;P52298-3;F8WE41;C9JQX9;B3KSB0;P52298-2	Nuclear cap-binding protein subunit 2	NCBP2
P52306	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	P52306;P52306-5;P52306-4;P52306-6;P52306-2;P52306-3;H0Y8M2;D6RHH8;D6REZ0;D6RB97;D6RBC6;D6RHZ7	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1
P52564	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6	P52564;P52564-2;A0A0A0MRF7;K7EIW3	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6
P52565	Rho GDP-dissociation inhibitor 1	ARHGDIA	P52565;J3KTF8;J3QQX2;J3KRE2;P52565-2;J3KRY1;J3KS60	Rho GDP-dissociation inhibitor 1	ARHGDIA
P52566	Rho GDP-dissociation inhibitor 2	ARHGDIB	P52566;H0YGX7;F5H3P3;F5H6Q0;F5H2R5	Rho GDP-dissociation inhibitor 2	ARHGDIB
P52594-2	Arf-GAP domain and FG repeat-containing protein 1	AGFG1	P52594-2;P52594-3;P52594;P52594-4;B8ZZY2;C9J2I0	Arf-GAP domain and FG repeat-containing protein 1	AGFG1
P52597	Heterogeneous nuclear ribonucleoprotein F	HNRNPF	P52597;A0A1B0GW42	Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed	HNRNPF
P52735-3	Guanine nucleotide exchange factor VAV2	VAV2	P52735-3;P52735-2;P52735	Guanine nucleotide exchange factor VAV2	VAV2
P52756	RNA-binding protein 5	RBM5	P52756;C9J9P7;C9JFQ5;P52756-4;P52756-2;P52756-5	RNA-binding protein 5	RBM5
P52758	Ribonuclease UK114	HRSP12	P52758;H0YB34;H0YBX3;E5RIP8	Ribonuclease UK114	HRSP12
P52788	Spermine synthase	SMS	P52788;P52788-2;H7C2R7	Spermine synthase	SMS
P52790	Hexokinase-3	HK3	P52790;H0Y8U9	Hexokinase-3	HK3
P52815	39S ribosomal protein L12, mitochondrial	MRPL12	P52815	39S ribosomal protein L12, mitochondrial	MRPL12
P52888	Thimet oligopeptidase	THOP1	P52888;K7EP46;K7EKB6;K7EL02;P52888-2;K7EMU4;K7EIK4;K7EL32	Thimet oligopeptidase	THOP1
P52895	Aldo-keto reductase family 1 member C2	AKR1C2	P52895;B4DK69;S4R3P0;P52895-2	Aldo-keto reductase family 1 member C2	AKR1C2
P52907	F-actin-capping protein subunit alpha-1	CAPZA1	P52907	F-actin-capping protein subunit alpha-1	CAPZA1
P52943	Cysteine-rich protein 2	CRIP2	P52943;P52943-2;H0YFA4;H0YHD8	Cysteine-rich protein 2	CRIP2
P52948-5	Nuclear pore complex protein Nup98-Nup96	NUP98	P52948-5;P52948;P52948-6;P52948-2;H7C3P6;A0A3B3ITD8;P52948-4;P52948-3;H0YEN4;H0YCT1;H0YCR0	Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96	NUP98
P53004	Biliverdin reductase A	BLVRA	P53004	Biliverdin reductase A	BLVRA
P53007	Tricarboxylate transport protein, mitochondrial	SLC25A1	P53007;B4DP62	Tricarboxylate transport protein, mitochondrial	SLC25A1
P53041	Serine/threonine-protein phosphatase 5	PPP5C	P53041;H0YDU8;A8MU39	Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase	PPP5C
P53355-4	Death-associated protein kinase 1	DAPK1	P53355-4;P53355;P53355-3;P53355-2;F8WCQ3	Death-associated protein kinase 1	DAPK1
P53367	Arfaptin-1	ARFIP1	P53367;P53367-2;P53367-3	Arfaptin-1	ARFIP1
P53370	Nucleoside diphosphate-linked moiety X motif 6	NUDT6	P53370;P53370-2;E9PBZ9;H0Y9C0	Nucleoside diphosphate-linked moiety X motif 6	NUDT6
P53384	Cytosolic Fe-S cluster assembly factor NUBP1	NUBP1	P53384;P53384-2;I3L531	Cytosolic Fe-S cluster assembly factor NUBP1	NUBP1
P53396	ATP-citrate synthase	ACLY	P53396;P53396-2;P53396-3;K7ESG8;K7EIE7	ATP-citrate synthase	ACLY
P53582	Methionine aminopeptidase 1	METAP1	P53582;H0Y955;H0YAI3;H0Y9L0;D6RF24;H0Y903	Methionine aminopeptidase 1	METAP1
P53597	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1	P53597;A0A494C0D1;H7C233	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1
P53602	Diphosphomevalonate decarboxylase	MVD	P53602;H3BP35;H3BQ47;H3BRZ1;H3BVC4	Diphosphomevalonate decarboxylase	MVD
P53609	Geranylgeranyl transferase type-1 subunit beta	PGGT1B	P53609;P53609-2	Geranylgeranyl transferase type-1 subunit beta	PGGT1B
P53611	Geranylgeranyl transferase type-2 subunit beta	RABGGTB	P53611;Q5T4U8	Geranylgeranyl transferase type-2 subunit beta	RABGGTB
P53618	Coatomer subunit beta	COPB1	P53618;E9PP73;E9PP63;E9PKQ1	Coatomer subunit beta	COPB1
P53621	Coatomer subunit alpha	COPA	P53621;A0A3B3IT15;P53621-2;A0A3B3IS84;A0A3B3ISC6;A0A3B3IU89;A0A3B3ITV3;A0A3B3ISK1;A0A3B3ITI7;A0A3B3ITX2;A0A3B3IU78;A0A3B3IS23;A0A3B3IU84	Coatomer subunit alpha;Xenin;Proxenin	COPA
